Date,Close,Open,High,Low,Volume
"Mar 20, 2019",19388.98,19551.29,19560.14,19380.24,381260000
"Mar 19, 2019",19551.29,19486.7,19557.11,19454.42,268190000
"Mar 18, 2019",19486.7,19491.03,19558.48,19397.62,281800000
"Mar 15, 2019",19491.03,19283.06,19495.64,19281.93,605760000
"Mar 14, 2019",19283.06,19180.09,19344.73,19149.06,367090000
"Mar 13, 2019",19180.09,19143.96,19181.59,19090.3,353220000
"Mar 12, 2019",19143.96,19093.06,19232.9,19091.8,306090000
"Mar 11, 2019",19093.06,19047.67,19137.04,19033,265520000
"Mar 08, 2019",19047.67,19183.82,19183.82,18984.38,272320000
"Mar 07, 2019",19183.82,19359.31,19362.34,19136.63,300700000
"Mar 06, 2019",19359.31,19443.14,19452.62,19357.14,304620000
"Mar 05, 2019",19443.14,19411.43,19447.29,19376.3,276820000
"Mar 04, 2019",19411.43,19399.65,19476.88,19387.02,237970000
"Mar 01, 2019",19399.65,19181.35,19399.65,19181.35,302980000
"Feb 28, 2019",19181.35,19153.75,19201.48,19039.97,322950000
"Feb 27, 2019",19153.75,19270.68,19273,19116.17,267210000
"Feb 26, 2019",19270.68,19246.98,19329.26,19147.46,270560000
"Feb 25, 2019",19246.98,19269.59,19274.49,19158.61,278180000
"Feb 22, 2019",19269.59,19236.88,19322.72,19236.66,235450000
"Feb 21, 2019",19236.88,19202.03,19252.98,19168.44,285340000
"Feb 20, 2019",19202.03,19068.89,19202.03,19034.15,292980000
"Feb 19, 2019",19068.89,19127.28,19127.28,19016.4,273620000
"Feb 18, 2019",19127.28,18987.23,19146.93,18948.86,222170000
"Feb 15, 2019",18987.23,18898.2,19030.8,18865.82,279670000
"Feb 14, 2019",18898.2,18972.62,19021.33,18856.77,259930000
"Feb 13, 2019",18972.62,18824.78,18993.79,18808.02,239100000
"Feb 12, 2019",18824.78,18831.78,18895.67,18788.7,269760000
"Feb 11, 2019",18831.78,18652.88,18846.25,18652.64,221670000
"Feb 08, 2019",18652.88,18799.26,18801.79,18652.88,224660000
"Feb 07, 2019",18799.26,19073.41,19073.41,18799.26,262940000
"Feb 06, 2019",19073.41,18996.02,19088.55,18923.55,232530000
"Feb 05, 2019",18996.02,18848.81,18996.02,18848.81,261490000
